Title,US_Gross,Worldwide_Gross,US_DVD_Sales,Production_Budget,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes,Genre_Group
The Devil's Own,42885593,140900000,NA,90000000,Mar 26 1997,R,NA,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Alan J. Pakula,29,5.8,21331,Thriller/Suspense
Darkness Falls,32539681,32539681,NA,7000000,Jan 24 2003,PG-13,86,Sony Pictures,Original Screenplay,Horror,Fantasy,NA,8,4.6,12771,Horror
Defiance,28644813,42268745,13421577,50000000,Dec 31 2008,R,NA,Paramount Vantage,Original Screenplay,Drama,Historical Fiction,Edward Zwick,56,5.9,362,Drama
A Dog of Flanders,2165637,2165637,NA,7000000,Aug 27 1999,PG,NA,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,NA,17,5.9,482,Drama
Dragonfly,30063805,30063805,NA,60000000,Feb 22 2002,PG-13,104,Universal,Original Screenplay,Drama,Fantasy,Tom Shadyac,7,5.8,14098,Drama
The Dead Girl,19875,19875,NA,3300000,Dec 29 2006,R,NA,First Look,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,73,6.8,7122,Thriller/Suspense
The Lords of Dogtown,11273517,11354893,NA,25000000,Jun 03 2005,PG-13,NA,Sony/TriStar,Original Screenplay,Action,Dramatization,Catherine Hardwicke,NA,NA,NA,Action
Dick,6276869,6276869,NA,13000000,Aug 04 1999,PG-13,NA,Sony Pictures,Original Screenplay,Comedy,Historical Fiction,Andrew Fleming,70,6.1,10451,Comedy
Live Free or Die Hard,134529403,383531464,100774964,110000000,Jun 27 2007,PG-13,128,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,Len Wiseman,82,7.5,130559,Action
Digimon: The Movie,9628751,16628751,NA,5000000,Oct 06 2000,PG,NA,20th Century Fox,Based on TV,Adventure,Kids Fiction,NA,NA,4.6,1727,Adventure
Dirty Work,10020081,10020081,NA,13000000,Jun 12 1998,PG-13,NA,MGM,Original Screenplay,Comedy,Contemporary Fiction,NA,17,4.8,207,Comedy
Banlieue 13,1200216,11208291,NA,15000000,Jun 02 2006,R,85,Magnolia Pictures,Original Screenplay,Action,Science Fiction,Pierre Morel,NA,7.1,21427,Action
Disaster Movie,14190901,34690901,9859088,20000000,Aug 29 2008,PG-13,88,Lionsgate,Original Screenplay,Comedy,Contemporary Fiction,Jason Friedberg,2,1.7,34928,Comedy
District 9,115646235,206552113,30058184,30000000,Aug 14 2009,R,111,Sony Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,Neill Blomkamp,91,8.3,151742,Thriller/Suspense
Disturbing Behavior,17507368,17507368,NA,15000000,Jul 24 1998,R,83,MGM,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,30,5.2,9394,Thriller/Suspense
Le Scaphandre et le Papillon,5990075,19689095,2354497,14000000,Nov 30 2007,PG-13,NA,Miramax,Based on Book/Short Story,Drama,Dramatization,Julian Schnabel,NA,8,31172,Drama
Dark Blue,9237470,11933396,NA,15000000,Feb 21 2003,R,NA,MGM,Original Screenplay,Drama,Contemporary Fiction,Ron Shelton,57,6.6,10881,Drama
Dreaming of Joseph Lees,7680,7680,NA,3250000,Oct 29 1999,R,NA,Fox Searchlight,NA,NA,NA,NA,NA,5.8,520,Other
De-Lovely,13337299,18396382,NA,4000000,Jun 25 2004,PG-13,NA,MGM,Based on Real Life Events,Drama,Historical Fiction,NA,49,6.5,6086,Drama
Madea's Family Reunion,63257940,63308879,26508859,10000000,Feb 24 2006,PG-13,NA,Lionsgate,Based on Play,Comedy,Contemporary Fiction,Tyler Perry,26,3.9,5369,Comedy
Dead Man on Campus,15064948,15064948,NA,14000000,Aug 21 1998,R,93,Paramount Pictures,Original Screenplay,Black Comedy,Contemporary Fiction,NA,15,5.6,7109,Other
Drowning Mona,15427192,15427192,NA,16000000,Mar 03 2000,PG-13,NA,Destination Films,Original Screenplay,Comedy,Contemporary Fiction,NA,29,5.3,7606,Comedy
Diamonds,81897,81897,NA,11900000,Dec 10 1999,PG-13,NA,Miramax,NA,NA,NA,NA,26,5.3,976,Other
Doomsday,11008770,21621188,8666480,33000000,Mar 14 2008,R,NA,Universal,Original Screenplay,Action,Science Fiction,NA,48,6,34035,Action
Donkey Punch,19367,19367,NA,750000,Jan 23 2009,R,NA,Magnolia Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,NA,5.4,4551,Thriller/Suspense
Dinosaur,137748063,356148063,NA,127500000,May 19 2000,PG,82,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,NA,65,6.2,13962,Adventure
DOA: Dead or Alive,480314,2670860,1370874,30000000,Jun 15 2007,PG-13,NA,Weinstein/Dimension,Based on Game,Action,Fantasy,Corey Yuen,34,4.9,16646,Action
Doogal,7578946,26942802,NA,20000000,Dec 31 2005,G,NA,Weinstein Co.,Based on TV,Adventure,Kids Fiction,NA,NA,2.5,2709,Adventure
Dogma,30651422,43948865,NA,10000000,Nov 12 1999,R,135,Lionsgate,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,68,7.3,100476,Comedy
Domestic Disturbance,45207112,45207112,NA,53000000,Nov 02 2001,PG-13,89,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Harold Becker,24,5.3,10778,Thriller/Suspense
Domino,10169202,17759202,15573570,50000000,Oct 14 2005,R,133,New Line,Based on Real Life Events,Action,Dramatization,Tony Scott,19,5.9,32560,Action
Donnie Brasco,41954997,55954997,NA,35000000,Feb 28 1997,R,121,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Mike Newell,87,7.7,65462,Drama
Doom,28212337,54612337,28563264,70000000,Oct 21 2005,R,NA,Universal,Based on Game,Horror,Science Fiction,Andrzej Bartkowiak,19,5.2,39473,Horror
Doubt,33422556,50923043,12876746,20000000,Dec 12 2008,PG-13,NA,Miramax,Based on Play,Drama,Historical Fiction,NA,78,NA,NA,Drama
Doug's 1st Movie,19421271,19421271,NA,5000000,Mar 26 1999,G,77,Walt Disney Pictures,Based on TV,Adventure,Kids Fiction,NA,NA,4.8,920,Adventure
Downfall,5501940,92101940,NA,13500000,Feb 18 2005,R,NA,Newmarket Films,Based on Real Life Events,Drama,Dramatization,NA,NA,6.1,404,Drama
The Deep End,8823109,8823109,NA,3000000,Aug 08 2001,R,NA,Fox Searchlight,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,NA,81,6.6,6734,Thriller/Suspense
Deep Impact,140464664,349464664,NA,80000000,May 08 1998,PG-13,120,Paramount Pictures,Original Screenplay,Adventure,Science Fiction,Mimi Leder,47,6,54160,Adventure
The Departed,133311000,290539042,140689412,90000000,Oct 06 2006,R,152,Warner Bros.,Remake,Drama,Contemporary Fiction,Martin Scorsese,93,8.5,264148,Drama
Dracula 2000,33000377,33000377,NA,28000000,Dec 22 2000,R,99,Miramax,Original Screenplay,Horror,Contemporary Fiction,NA,15,4.8,14077,Horror
Death Race,36316032,72516819,24667330,65000000,Aug 22 2008,R,105,Universal,Remake,Action,Science Fiction,Paul Anderson,41,6.6,40611,Action
Drag Me To Hell,42100625,85724728,13123388,30000000,May 29 2009,PG-13,99,Universal,Original Screenplay,Horror,Fantasy,Sam Raimi,92,7.1,51343,Horror
"Crouching Tiger, Hidden Dragon",128067808,213200000,NA,15000000,Dec 08 2000,PG-13,120,Sony Pictures Classics,Based on Book/Short Story,Drama,Historical Fiction,Ang Lee,NA,NA,NA,Drama
Derailed,36020063,54962616,27718572,22000000,Nov 11 2005,R,NA,Weinstein Co.,Based on Book/Short Story,Action,Contemporary Fiction,NA,20,3.4,3317,Action
Doctor Dolittle 2,112950721,176101721,NA,72000000,Jun 22 2001,PG,87,20th Century Fox,Remake,Comedy,Kids Fiction,Steve Carr,NA,6,2993,Comedy
Doctor Dolittle,144156605,294156605,NA,71500000,Jun 26 1998,PG-13,85,20th Century Fox,Remake,Comedy,Kids Fiction,Betty Thomas,NA,5.2,25648,Comedy
Dickie Roberts: Former Child Star,22734486,23734486,NA,17000000,Sep 05 2003,PG-13,NA,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,5.5,6949,Comedy
Drillbit Taylor,32862104,49686263,12040874,40000000,Mar 21 2008,PG-13,NA,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,26,5.9,19388,Comedy
Driving Lessons,239962,239962,NA,4700000,Oct 13 2006,PG-13,98,Sony Pictures Classics,NA,NA,NA,NA,48,6.7,5380,Other
Driven,32616869,54616869,NA,72000000,Apr 27 2001,PG-13,117,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,13,4.2,18795,Action
Darkness,22163442,34409206,NA,10600000,Dec 25 2004,PG-13,NA,Miramax/Dimension,Original Screenplay,Horror,Contemporary Fiction,NA,4,5.3,9979,Horror
I Dreamed of Africa,6543194,6543194,NA,34000000,May 05 2000,PG-13,NA,Sony Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Hugh Hudson,9,5.2,2298,Drama
Dreamcatcher,33685268,75685268,NA,68000000,Mar 21 2003,R,136,Warner Bros.,Based on Book/Short Story,Drama,Science Fiction,Lawrence Kasdan,30,5.3,34141,Drama
Dreamgirls,103365956,154965956,53674555,75000000,Dec 15 2006,PG-13,130,Paramount Pictures,Based on Musical/Opera,Musical,Historical Fiction,Bill Condon,78,6.6,28016,Musical
Detroit Rock City,4217115,4217115,NA,16000000,Aug 13 1999,R,NA,New Line,Original Screenplay,Comedy,Historical Fiction,NA,47,6.4,15092,Comedy
Drop Dead Gorgeous,10571408,10571408,NA,10000000,Jul 23 1999,PG-13,NA,New Line,Original Screenplay,Comedy,Contemporary Fiction,NA,45,6.2,16344,Comedy
Drumline,56398162,56398162,NA,20000000,Dec 13 2002,PG-13,118,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,NA,81,5.2,18165,Comedy
The Legend of Drunken Master,11546543,11546543,NA,2000000,Oct 20 2000,R,NA,Miramax,Original Screenplay,Action,Contemporary Fiction,NA,NA,NA,NA,Action
Dinner Rush,638227,1075504,NA,2000000,Sep 28 2001,R,NA,Access Motion Picture Group,Original Screenplay,Drama,Contemporary Fiction,NA,NA,7.2,2991,Drama
The Descent,26024456,57029609,22484444,7000000,Aug 04 2006,R,99,Lionsgate,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,NA,7.4,58176,Thriller/Suspense
DysFunkTional Family,2255000,2255000,NA,3000000,Apr 04 2003,R,NA,Miramax,Original Screenplay,Concert/Performance,Factual,NA,43,5.9,501,Other
The Master of Disguise,40363530,40363530,NA,16000000,Aug 02 2002,PG,80,Sony Pictures,Original Screenplay,Comedy,Kids Fiction,NA,2,3,10050,Comedy
Desert Blue,99147,99147,NA,5000000,Jun 04 1999,R,NA,Goldwyn Entertainment,NA,NA,NA,NA,NA,6,1412,Other
Disturbia,80209692,117573043,34508128,20000000,Apr 13 2007,PG-13,104,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,D.J. Caruso,68,7,72231,Thriller/Suspense
Double Take,29823162,29823162,NA,24000000,Jan 12 2001,PG-13,88,Walt Disney Pictures,Remake,Action,Contemporary Fiction,NA,12,6.8,162,Action
Death at a Funeral,8580428,34743644,NA,20000000,Aug 17 2007,R,90,MGM,Original Screenplay,Comedy,Contemporary Fiction,Frank Oz,61,5.1,6628,Comedy
Deterrence,144583,371647,NA,800000,Mar 10 2000,R,NA,NA,NA,Thriller/Suspense,NA,NA,45,6.3,1776,Thriller/Suspense
Dirty Pretty Things,8112414,13904766,NA,10000000,Jul 18 2003,R,NA,Miramax,Original Screenplay,Drama,Contemporary Fiction,Stephen Frears,NA,7.5,18554,Drama
Dudley Do-Right,9818792,9818792,NA,22000000,Aug 27 1999,PG,NA,Universal,Based on TV,Comedy,Kids Fiction,Hugh Wilson,14,3.6,4628,Comedy
Duets,4734235,4734235,NA,16000000,Sep 15 2000,R,NA,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,NA,21,5.7,5340,Drama
The Dukes of Hazzard,80270227,110570227,NA,53000000,Aug 05 2005,PG-13,105,Warner Bros.,Based on TV,Comedy,Contemporary Fiction,Jay Chandrasekhar,13,4.7,27016,Comedy
Duma,870067,994790,NA,12000000,Sep 30 2005,PG,NA,Warner Bros.,Based on Book/Short Story,Adventure,NA,NA,93,7.2,2966,Adventure
Dumb and Dumberer: When Harry Met Lloyd,26214846,26214846,NA,30000000,Jun 13 2003,PG-13,85,New Line,Original Screenplay,Comedy,Contemporary Fiction,NA,10,3.3,14813,Comedy
Dungeons & Dragons 2: The Elemental Might,0,909822,NA,15000000,Oct 08 2005,NA,NA,Warner Bros.,Based on Game,NA,Fantasy,NA,NA,NA,NA,Other
Dungeons and Dragons,15185241,33771965,NA,35000000,Dec 08 2000,PG-13,NA,New Line,Based on Game,Adventure,Fantasy,NA,NA,3.6,16954,Adventure
Duplex,9652000,10070651,NA,40000000,Sep 26 2003,PG-13,NA,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Danny De Vito,NA,5.7,19238,Comedy
"You, Me and Dupree",75802010,130402010,41651251,54000000,Jul 14 2006,PG-13,NA,Universal,Original Screenplay,Comedy,Contemporary Fiction,NA,21,6.1,164,Comedy
Devil's Advocate,61007424,153007424,NA,57000000,Oct 17 1997,R,144,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Taylor Hackford,NA,NA,NA,Drama
The Da Vinci Code,217536138,757236138,100178981,125000000,May 19 2006,PG-13,NA,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Ron Howard,25,6.4,116903,Thriller/Suspense
D-War,10977721,79915361,7614486,32000000,Sep 14 2007,PG-13,90,Freestyle Releasing,Traditional/Legend/Fairytale,Action,Fantasy,NA,NA,3.8,14081,Action
Deuces Wild,6044618,6044618,NA,10000000,May 03 2002,R,NA,MGM,Original Screenplay,Drama,Historical Fiction,NA,3,5.3,4010,Drama
Down to Earth,64172251,71172251,NA,30000000,Feb 16 2001,PG-13,87,Paramount Pictures,Remake,Comedy,Fantasy,Paul Weitz,19,5,9193,Comedy
Down to You,20035310,20035310,NA,9000000,Jan 21 2000,PG-13,92,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,NA,3,4.4,7095,Romantic Comedy
I'm Not There,4017609,11498547,6017494,20000000,Nov 21 2007,R,NA,Weinstein Co.,Based on Real Life Events,Drama,Dramatization,Todd Haynes,76,7.1,23078,Drama
Easy A,21056221,22156221,NA,8000000,Sep 17 2010,PG-13,NA,Sony/Screen Gems,Based on Book/Short Story,Comedy,Contemporary Fiction,NA,80,7.7,483,Comedy
The Eclipse,133411,133411,NA,3000000,Feb 26 2010,R,NA,Magnolia Pictures,NA,NA,NA,NA,NA,6.2,790,Other
Edge of Darkness,43313890,78739628,12665512,60000000,Jan 29 2010,R,NA,Warner Bros.,Based on TV,Drama,Contemporary Fiction,Martin Campbell,55,6.7,24174,Drama
EDtv,22508689,35319689,NA,60000000,Mar 26 1999,PG-13,122,Universal,Original Screenplay,Comedy,Contemporary Fiction,Ron Howard,62,6,21734,Comedy
An Education,12574914,14134502,1765115,7500000,Oct 09 2009,PG-13,NA,Sony Pictures Classics,Based on Factual Book/Article,Drama,Dramatization,NA,94,7.5,22855,Drama
East is East,4170647,4170647,NA,3000000,Apr 14 2000,R,NA,Miramax,Based on Play,Comedy,Contemporary Fiction,NA,NA,6.7,8351,Comedy
8 Heads in a Duffel Bag,3602884,4002884,NA,3000000,Apr 18 1997,R,NA,Orion Pictures,Original Screenplay,Black Comedy,Contemporary Fiction,NA,11,4.8,5127,Other
Eagle Eye,101440743,178066569,38374936,80000000,Sep 26 2008,PG-13,117,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,D.J. Caruso,27,6.6,52336,Thriller/Suspense
8MM,36443442,96398826,NA,40000000,Feb 26 1999,R,119,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Joel Schumacher,22,6.3,47753,Thriller/Suspense
Iris,5580479,15035827,NA,5500000,Dec 14 2001,R,NA,Miramax,Based on Book/Short Story,Drama,Dramatization,NA,79,5.8,44,Drama
Election,14943582,14943582,NA,8500000,Apr 23 1999,R,103,Paramount Pictures,Based on Book/Short Story,Black Comedy,Contemporary Fiction,Alexander Payne,92,7.4,37454,Other
Elektra,24409722,56409722,NA,65000000,Jan 14 2005,PG-13,NA,20th Century Fox,Spin-Off,Action,Super Hero,NA,10,4.9,27283,Action
Elf,173398518,220443451,NA,32000000,Nov 07 2003,PG,95,New Line,Original Screenplay,Comedy,Kids Fiction,Jon Favreau,84,6.8,42123,Comedy
Elizabeth,30082699,82150642,NA,25000000,Nov 06 1998,R,124,Gramercy,Based on Real Life Events,Drama,Dramatization,Shekhar Kapur,81,7.6,33773,Drama
Ella Enchanted,22913677,22913677,NA,35000000,Apr 09 2004,PG,96,Miramax,Based on Book/Short Story,Comedy,Fantasy,NA,49,6.3,12020,Comedy
Once Upon a Time in Mexico,56330657,98156459,NA,29000000,Sep 12 2003,R,102,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Robert Rodriguez,68,6.2,54413,Action
The Adventures of Elmo in Grouchland,11634458,11634458,NA,17000000,Oct 01 1999,G,NA,Sony Pictures,Based on TV,Comedy,Kids Fiction,NA,76,5.4,1059,Comedy
The Emperor's Club,14060950,16124074,NA,12500000,Nov 22 2002,PG-13,NA,Universal,Based on Book/Short Story,Drama,Historical Fiction,NA,50,6.7,8165,Drama
Empire,17504595,18495444,NA,3500000,Dec 06 2002,R,NA,Universal,Original Screenplay,Drama,Contemporary Fiction,NA,21,6.5,63,Drama
La marche de l'empereur,77437223,129437223,NA,3400000,Jun 24 2005,G,80,Warner Independent,Based on Real Life Events,Documentary,Factual,NA,NA,7.8,23674,Other
Employee of the Month,28444855,38117718,21177885,10000000,Oct 06 2006,PG-13,103,Lionsgate,Original Screenplay,Comedy,Contemporary Fiction,NA,20,5.4,17845,Comedy
The Emperor's New Groove,89296573,169296573,NA,100000000,Dec 15 2000,G,78,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Mark Dindal,85,7.4,23355,Adventure
Enchanted,127706877,340384141,87698079,85000000,Nov 21 2007,PG,108,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Fantasy,Kevin Lima,92,7.5,55697,Romantic Comedy
The End of the Affair,10660147,10660147,NA,23000000,Dec 03 1999,R,NA,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Neil Jordan,67,6.9,9969,Drama
End of Days,66889043,212026975,NA,100000000,Nov 24 1999,R,120,Universal,Original Screenplay,Action,Fantasy,Peter Hyams,11,5.4,43513,Action
End of the Spear,11748661,11748661,NA,10000000,Jan 20 2006,PG-13,NA,M Power Releasing,Original Screenplay,Drama,Historical Fiction,NA,NA,6.7,2884,Drama
Enemy at the Gates,51396781,96971293,NA,85000000,Mar 16 2001,R,131,Paramount Pictures,Based on Real Life Events,Drama,Historical Fiction,Jean-Jacques Annaud,53,7.4,59916,Drama
Enemy of the State,111549836,250649836,NA,85000000,Nov 20 1998,R,127,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,70,7.2,66700,Action
Entrapment,87707396,211700000,NA,66000000,Apr 30 1999,PG-13,112,20th Century Fox,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Amiel,38,6.1,40764,Thriller/Suspense
Enough,39177215,39177215,NA,38000000,May 24 2002,PG-13,115,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Michael Apted,21,6.5,92,Thriller/Suspense
Envy,13548322,14566246,NA,20000000,Apr 30 2004,PG-13,NA,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Barry Levinson,7,4.6,15655,Comedy
Epic Movie,39739367,86858578,16839362,20000000,Jan 26 2007,PG-13,86,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Jason Friedberg,2,2.2,48975,Comedy
Eragon,75030163,249488115,87700229,100000000,Dec 15 2006,PG,102,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,NA,16,5,43555,Adventure
Erin Brockovich,125548685,258400000,NA,50000000,Mar 17 2000,R,133,Universal,Based on Real Life Events,Drama,Dramatization,Steven Soderbergh,83,7.2,54977,Drama
Elizabethtown,26850426,50719373,15854391,54000000,Oct 14 2005,PG-13,133,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Cameron Crowe,28,6.4,31775,Drama
Eat Pray Love,78146373,81846373,NA,60000000,Aug 13 2010,R,143,Sony Pictures,Based on Magazine Article,Drama,Contemporary Fiction,NA,37,4.7,3019,Drama
Eternal Sunshine of the Spotless Mind,34366518,47066518,NA,20000000,Mar 19 2004,R,108,Focus Features,Based on Book/Short Story,Comedy,Fantasy,Michel Gondry,93,8.5,219986,Comedy
Eulogy,70527,70527,NA,10000000,Oct 15 2004,R,NA,Artisan,Original Screenplay,Comedy,NA,NA,32,6.6,5205,Comedy
Eureka,49388,76654,NA,2000000,May 04 2001,Not Rated,NA,NA,NA,Drama,NA,NA,NA,7.9,1391,Drama
Eurotrip,17718223,20718223,NA,25000000,Feb 20 2004,R,NA,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,NA,46,6.5,52548,Comedy
Eve's Bayou,14843425,14843425,NA,5000000,Nov 07 1997,R,109,Trimark,Original Screenplay,Drama,Historical Fiction,Kasi Lemmons,80,7,4509,Drama
Event Horizon,26673242,26673242,NA,60000000,Aug 15 1997,R,95,Paramount Pictures,Original Screenplay,Horror,Science Fiction,Paul Anderson,21,6.3,44671,Horror
Ever After: A Cinderella Story,65705772,65705772,NA,26000000,Jul 31 1998,PG,122,20th Century Fox,Traditional/Legend/Fairytale,Drama,Historical Fiction,Andy Tennant,NA,NA,NA,Drama
Evita,50047179,151947179,NA,55000000,Dec 25 1996,PG,134,Walt Disney Pictures,Based on Musical/Opera,Musical,Dramatization,Alan Parker,61,6.1,16769,Musical
Evolution,38311134,98341932,NA,80000000,Jun 08 2001,PG-13,102,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,42,5.9,39590,Comedy
An Everlasting Piece,75078,75078,NA,4000000,Dec 25 2000,R,NA,Dreamworks SKG,NA,NA,NA,Barry Levinson,49,6,1097,Other
Fong juk,51957,51957,NA,4500000,Aug 31 2007,Not Rated,100,Magnolia Pictures,Original Screenplay,Action,Historical Fiction,NA,NA,7.3,3699,Action
Exit Wounds,51758599,79958599,NA,33000000,Mar 16 2001,R,100,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,Andrzej Bartkowiak,33,5.2,14528,Action
The Exorcism of Emily Rose,75072454,144216468,NA,18000000,Sep 09 2005,PG-13,114,Sony/Screen Gems,Based on Real Life Events,Thriller/Suspense,Dramatization,Scott Derrickson,45,6.8,32425,Thriller/Suspense
Exorcist: The Beginning,41814863,43957541,NA,78000000,Aug 20 2004,R,114,Warner Bros.,Based on Book/Short Story,Horror,Historical Fiction,Renny Harlin,NA,5,15901,Horror
The Express,9793406,9808102,6580715,37500000,Oct 04 2008,PG,129,Universal,Based on Book/Short Story,Drama,Dramatization,NA,61,7.1,4749,Drama
eXistenZ,2840417,2840417,NA,20700000,Apr 23 1999,R,NA,Miramax,Original Screenplay,Thriller/Suspense,Science Fiction,David Cronenberg,71,6.8,35788,Thriller/Suspense
Extract,10823158,10849158,NA,7500000,Sep 04 2009,R,NA,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Mike Judge,62,6.4,12371,Comedy
Extreme Ops,4835968,12624471,NA,40000000,Nov 27 2002,PG-13,NA,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Christian Duguay,6,4.1,3195,Action
Eyes Wide Shut,55691208,86257553,NA,65000000,Jul 16 1999,R,159,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Stanley Kubrick,78,7.2,93880,Drama
The Faculty,40283321,40283321,NA,15000000,Dec 25 1998,R,102,Miramax,Original Screenplay,Horror,Contemporary Fiction,Robert Rodriguez,51,6.3,36139,Horror
Failure to Launch,88715192,128402901,41348843,50000000,Mar 10 2006,PG-13,NA,Paramount Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Tom Dey,25,5.6,20324,Romantic Comedy
Keeping the Faith,37036404,45336404,NA,29000000,Apr 14 2000,PG-13,129,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,NA,68,6.5,25485,Romantic Comedy
Fame,22455510,77956957,4950732,18000000,Sep 25 2009,PG,NA,MGM,Remake,Musical,Contemporary Fiction,NA,25,4.5,4973,Musical
The Family Stone,60062868,91762868,23961409,18000000,Dec 16 2005,PG-13,103,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,NA,52,6.3,24434,Comedy
Lisa Picard is Famous,113433,113433,NA,1000000,Aug 22 2001,PG-13,NA,NA,NA,Comedy,NA,Griffin Dunne,NA,NA,NA,Comedy
Fantasia 2000 (Theatrical Release),9103630,9103630,NA,80000000,Jun 16 2000,G,NA,Walt Disney Pictures,Compilation,Musical,Fantasy,NA,NA,NA,NA,Musical
Far From Heaven,15901849,29027914,NA,13500000,Nov 08 2002,PG-13,NA,Focus Features,Original Screenplay,Drama,Historical Fiction,Todd Haynes,89,7.5,20239,Drama
Fascination,16670,83356,NA,5000000,Jan 28 2005,R,NA,MGM,Original Screenplay,Thriller/Suspense,NA,NA,NA,2.5,1016,Thriller/Suspense
Father's Day,28681080,35681080,NA,85000000,May 09 1997,PG-13,98,Warner Bros.,Remake,Comedy,Contemporary Fiction,Ivan Reitman,NA,4.8,6654,Comedy
Facing the Giants,10178331,10178331,20091582,100000,Sep 29 2006,PG,NA,IDP/Goldwyn/Roadside,Original Screenplay,Drama,Contemporary Fiction,Alex Kendrick,9,6,4901,Drama
Face/Off,112276146,241200000,NA,80000000,Jun 27 1997,R,138,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,John Woo,93,7.3,102001,Action
Final Destination 2,46896664,89626226,NA,26000000,Jan 31 2003,R,90,New Line,Original Screenplay,Horror,Fantasy,David R. Ellis,47,6.4,35737,Horror
Final Destination 3,54098051,112798051,18646884,25000000,Feb 10 2006,R,NA,New Line,Original Screenplay,Horror,Fantasy,James Wong,45,5.9,32263,Horror
The Final Destination,66477700,185777700,10148305,40000000,Aug 28 2009,R,NA,Warner Bros.,Original Screenplay,Horror,Fantasy,David R. Ellis,27,4.9,20319,Horror
FearDotCom,13208023,13208023,NA,40000000,Aug 30 2002,R,NA,Warner Bros.,Original Screenplay,Horror,Contemporary Fiction,William Malone,NA,3.1,11438,Horror
Fear and Loathing in Las Vegas,10680275,13711903,NA,18500000,May 22 1998,R,NA,Universal,Based on Book/Short Story,Comedy,Dramatization,Terry Gilliam,47,7.6,81560,Comedy
Feast,56131,341808,3570398,3200000,Sep 22 2006,R,NA,Weinstein/Dimension,Original Screenplay,Horror,Fantasy,NA,55,6.4,12023,Horror
The Fifth Element,63570862,263900000,NA,95000000,May 09 1997,PG-13,105,Sony Pictures,Original Screenplay,Action,Science Fiction,Luc Besson,72,7.4,131252,Action
Femme Fatale,6592103,6592103,NA,35000000,Nov 06 2002,R,NA,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,48,6.3,16693,Thriller/Suspense
Bring it On,68353550,90453550,NA,10000000,Aug 25 2000,PG-13,99,Universal,Original Screenplay,Comedy,Contemporary Fiction,Peyton Reed,63,5.9,30309,Comedy
